LOC_ID      NAME                Description
SR-93     SR-93          RAMAGUNDAM DRAWAL
SR-AD     SR-AD          Adjustment column for SR-WR
NR-94     NR-94          NR Sub drawal   
NR-93     NR-93          MAIN WR-NR EXCHANGE
NR-91     NR-91          Total Import from Northern region(Main)
NR-92     NR-92          Total Import from Northern region(Check)
NR-RV     NR-RV          NR-92 REVERSED
NR-AD     NR-AD          ADJUSTMENT 
ER-91     ER-91          Total Import from Eastern Region(Main)
ER-92     ER-92          Total Import from Eastern Region(Check)
ER-AD     ER-AD          ER ADJUSTMENT
NT-91     NT-91          NTPC TOTAL
NP-91     NP-91          NPC TOTAL
HY-91     HY-91          HYDRO TOTAL
IP-92     IP-92          IPP TOTAL(PART1)
IP-93     IP-93          IPP TOTAL(PART2)
IP-91     IP-91          IPP TOTAL
IR-91     IR-91          INTER REGIONAL TOTAL
SD-91     SD-91          STATE DRAWAL W/O CSEB
IG-91     IG-91          TOT WR GENERATION W/O I/R
IN-93     IN-93          INJECTON-1
IN-94     IN-94          INJECTION-2
IN-91     IN-91          Total Injection by Western Region
DR-91     DR-91          Total Drawal by Western Region Beneficiaries
IN-95     IN-95          INJECTION
IN-96     IN-96          INJECTION2
IN-97     IN-97          INJECTION3
DR-92     DR-92          OLD DRAWAL FORMULA
IN-92     IN-92          OLD INJECTION FORMULA
LO-91     LO-91          Total system loss in Western Region
LO-00     LO-00          % LOSS
LO-AD     LO-AD          Adjustment File for loss%
RE-80     RE-80          Remarks if any
VI-GE     VI-GE          VIN GENERATION
AP-91     AP-91          APL INJ
AP-92     AP-92          APL
AP-93     AP-93          APL1
SA-91     SA-91          SASAN INJ
SA-92     SA-92          SASAN CHAEK
SA-AD     SA-AD          SASAN ADJ
ST-91     ST-91          SPECTRUM INJ
ST-AD     ST-AD          SPECTRUM ADJ VALUE
EM-91     EM-91          EMCO INJECTION
EM-AD     EM-AD          EMCO ADJUSTMENT
SP-G3     SP-G3          GT-3
EM-92     EM-92          EMCO GT INJECTION
MD-92     MD-92          MOUDA GEN
KB-91     KB-91          KORBA WEST INJ
KB-AD     KB-AD          KWPML ADJ
VI-V4     VI-V4          VIN STAGE IV DRAWAL
VI-IV     VI-IV          VIN STAGE-4
VI-V5     VI-V5          VIN STAGE V DRAWAL
VI-V1     VI-V1          UNIT-11 OF VSTPS-4
VI-V2     VI-V2          UNIT-12 OF VSTPS-4
VI-U1     VI-U1          FIRM POWER OF UNIT-11 OF VSTPS-4
VI-U2     VI-U2          INFIRM POWER OF UNIT-12 OF VSTPS-4
DB-91     DB-91          DB POWER GEN
JY-91     JY-91          JAYPEE NIGRI INJECTION
JY-AD     JY-AD          ADJUSTMENT
VI-HD     VI-HD          1
HZ-91     HZ-91          HAZIRA DRAWAL
HZ-AD     HZ-AD          ADJ
DG-91     DG-91          DGEN GEN
DG-AD     DG-AD          ADJ1 DGEN
AC-94     AC-94          ACBIL 30MW INJ
GM-91     GM-91          GMR CHHATTISGARH INJECTION
GM-AD     GM-AD          ADJ
DW-91     DW-91          DHARIWAL INFRA
DW-AD     DW-AD          ADJ
JD-91     JD-91          JINDAL NET INJECTION
DC-AD     DC-AD          ADJUSTMENT VALUES FOR DCPP
SK-91     SK-91          SKS INJ
MC-91     MC-91          MCCPL INJ
JH-91     JH-91          JHABUA POWER TOTAL INJECTION
MB-91     MB-91          MB POWER TOTAL INJECTION
RK-91     RK-91          RKM INJECTION
TR-91     TR-91          TRN ENERGY INJECTION
SO-91     SO-91          SOLAPUR(NTPC) INJECTION
BR-91     BR-91          TOTALBARC DRAWL
LA-91     LA-91          LARA(NTPC) INJECTION
VE-91     VE-91          VIRTUAL ENTITY WR.
GD-91     GD-91          GADARWARA Injection
KH-91     KH-91          Khargone(NTPC) INJECTION
OS-91     OS-91          Ostro WIND injection
MA-91     MA-91          RUMS (MAHINDRA) INFIRM INJECTION (MAIN)
AR-91     AR-91          RUMS (Arinsun) INFIRM INJECTION (MAIN)
AM-91     AM-91          ACME Injection
RE-91     RE-91          Renew injection at Bachau
GI-91     GI-91          GIWEL injection at Bhuj
GI-94     GI-94          GIWEL-SECI-III injection at Bhuj
IX-91     IX-91          Inox injection at Bhuj
-----------------------------------------------------------------



